% LIST OF CONTRASTS & CONCESSIONS IN THE CORPUS %
Marker	Contrast/Concession	QUD_Structure	Anaphoric/Cataphoric	Example
sondern	Contrast	Coordinate	NA	Hier und heute ist die Balance schnell gefunden und der iPace dreht eine Runde nach der anderen. Und mit jeder kommt nicht nur das Auto näher ans Limit, sondern vor allem der Fahrer. 
sondern	Contrast	Coordinate	NA	Es geht nicht ums Runden fahren,sondern um das gefahrlose Ausloten des ungeheuerlichen Beschleunigungsvermögens dieses 210 PS starken und samt Serien-Hauptständer 260 Kilogramm schweren Boliden.
sondern	Contrast	Coordinate	NA	Es handelt sich nämlich – man muss es wiederholen – bei der H2SX nicht um ein Racebike, sondern um einen Sporttourer.
sondern	Contrast	Coordinate	NA	Natürlich, der Kardantunnel entfällt, die bullige Antriebseinheit ist kompakt in Hinterachs-Nähe installiert. Das sorgt für ordentliche Raumverhältnisse nicht nur für die menschliche Fracht, sondern ebenso für das mitreisende Gepäck.
sondern	Contrast	Coordinate	NA	So ist ausgerechnet das Topmodell nicht mehr der gefräßige Buhmann, sondern schlägt sich bei entsprechender Nutzung ökologisch wacker.
sondern	Contrast	Coordinate	NA	Dank einer gewitzt gewählten Spurbreite von 465 Millimeter gilt der Dreiradroller nicht als Ein-, sondern als Mehrspurfahrzeug und darf daher mit dem Autoführerschein gefahren werden, wobei die Regeln in Europa nicht ganz einheitlich sind.
sondern	Contrast	Coordinate	NA	Auf Platz zwei folgt Deutschland, auf Rang drei noch immer nicht Italien, sondern Spanien.
sondern	Contrast	Coordinate	NA	Anders als eine Vespa aus demselben Konzern legt man sich einen MP3 nicht zu, um Geschmackssicherheit zu demonstrieren, sondern aus Notwehr beziehungsweise der Notwendigkeit, im Verkehrsgewühl voran- und anzukommen.
sondern	Contrast	Coordinate	NA	Das Heck wirkt mit den kantigen Rücklichtern deutlich weniger verspielt als bisher, außerdem hat Nissan nicht nur die Optik der Leuchten verändert, sondern gönnt sich jetzt sogar teurere, zweigeteilte Lichter.
sondern	Contrast	Coordinate	NA	Der hält nicht nur den Abstand zum Vordermann, sondern lenkt auch noch selbstständig mit.
sonst	Concession	Subordinate	Anaphoric	Vorn sitzen die Passagiere ausgezeichnet, aber wer auf der Rücksitzbank Platz nehmen muss, ärgert sich über den klassenüblich knappen Beinraum der Doppelkabiner – sonst bliebe für die Ladefläche noch weniger übrig als 156 × 157 Zentimeter.
stattdessen	Contrast	Coordinate	NA	Kaum Bezug zur Vergangenheit gibt’s im sportlich eingerichteten Cockpit: Analoge Instrumente haben ausgedient, stattdessen informiert immer ein 10,25-Zoll-Display über Tempo, Drehzahl und mehr.
stattdessen	Contrast	Coordinate	NA	Der markanteste Unterschied des Softail-Fahrwerks zur damaligen Dyna-Konstruktion: keine Stereo-Federbeine am Heck, stattdessen ein raffiniert unterm Sattel verstecktes Federelement, das den klassischen Starrrahmen-Look mit der Illusion eines ungefederten Hinterrads ermöglicht.
stattdessen	Contrast	Coordinate	NA	Stattdessen wird ein TFT-Display mit Touchscreen-Funktion geliefert, das Honda selbst entwickelt hat.
stattdessen	Contrast	Coordinate	NA	Stattdessen gibt es ein Pedal, auf das der rechte Fuß trampeln muss, um Wirkung zu erzielen, und sonst nichts.
trotzdem	Contrast	Subordinate	NA	Trotzdem sind die Preise erreichbarer, so sich das in diesen Klassen überhaupt behaupten lässt.
trotzdem	Contrast	Coordinate	NA	Trotzdem versucht das System, den Verbrenner so oft wie möglich abzustellen – das gelingt je nach Fahrprofil auf rund 30 Prozent aller Wege; im Stadtverkehr wahrscheinlich sogar noch häufiger. 
trotzdem	Contrast	Coordinate	NA	Trotzdem saugt das stete Anfahren und Abbremsen die Batterie schnell leer.
trotzdem	Contrast	Subordinate	NA	Das weist schon auf die Zielgruppe hin, der Ryker möchte von Autofahrern gekauft werden, die ihn mit ihrem Führerschein fahren dürfen, eine Handbremse zusätzlich wäre uns trotzdem lieber.
trotzdem	Concession	Subordinate	Cataphoric	Mehr noch macht sich die Neigesystem-Verriegelung beim Parken nützlich: Weil der Scooter nicht auf einen – trotzdem vorhandenen – Ständer gehievt werden muss, lässt er sich in die schmalste Lücke schieben und per Handbremse sichern.
trotzdem	Concession	Subordinate	Anaphoric	Wer nicht möchte, dass sämtliche Aktionen und Wege über die Cloud bei Konfuzius landen, kann manche Funktionen deaktivieren ob die Daten trotzdem irgendwo gesammelt werden, wissen wir nicht.
wobei	Contrast	Coordinate	NA	Griffige und gut dosierbare Vierkolben-Bremsen stehen dem Vortrieb bei Bedarf wirksam entgegen, wobei dem ABS die Schräglagentauglichkeit abgeht. 
wobei	Concession	Subordinate	Anaphoric	Die XTribute lässt sich insgesamt sehr leicht fahren, geradeaus wie in Kurven, wobei sich der blockmusterartige Pirelli-Pneu als sehr gute Wahl darstellt.
wobei	Concession	Subordinate	Anaphoric	Antrittsstark lässt die neue GTS an der Ampel die Automeute im Rückspiegel schrumpfen, wobei sich unser Exemplar beim Lossprinten mehrere Male die Merkwürdigkeit eines kurzen Aussetzers erlaubte.
wobei	Concession	Subordinate	Anaphoric	Dank einer gewitzt gewählten Spurbreite von 465 Millimeter gilt der Dreiradroller nicht als Ein-, sondern als Mehrspurfahrzeug und darf daher mit dem Autoführerschein gefahren werden, wobei die Regeln in Europa nicht ganz einheitlich sind.
indes	Contrast	Coordinate	NA	Gleichgültig in welchem Modus man sich befindet, ein wenig abgehärtet sollte man indes schon sein, wenn man auf den Bordcomputer blickt.
statt	Contrast	Coordinate	NA	Und dass man in einer absolut leeren und deshalb umso geräumigeren SUV-Kabine sitzt statt in einem Flachmann, macht die Sache nicht eben besser. 
statt	Concession	Subordinate	Anaphoric	Als Ausgangsbasis für den Benziner-Stromer-Strang dient der Achtstufenautomat, nur dass statt Wandler das so genannte Hybridmodul samt E-Maschine montiert wird.
statt	Contrast	Coordinate	NA	Damit wird die Privatnutzung beim stärksten Cayenne im Rahmen der Dienstwagen-Regelung weiterhin mit einem statt einem halben Prozent besteuert.
statt	Contrast	Coordinate	NA	Aus den zwei Akkus mit 60 Volt Spannung, die für die höhere Leistungsaufnahme gebraucht werden, darf der Radnabenmotor von Bosch bis zu 70 Ampere saugen (statt 40 im kleinen Modell), als Dauerleistung werden 3 kW angegeben.
trotz	Contrast	Coordinate	NA	Trotz des bescheidenen Aufwands für die Radführungen funktioniert alles dank guter Abstimmung einwandfrei.
trotz	Contrast	Coordinate	NA	Sitzt es sich vorne sehr bequem, darf man im Fond trotz 2,87 Meter langem Radstand keine Platzwunder erwarten.
doch während	Contrast	Coordinate	NA	Doch während die zweitstärkste Turbo-Version ohne „S“ bei einem spontanen, lediglich mittelschweren Gasstoß noch nach passenden Übersetzungen fahndet, liefert der Hybrid punktgenau Vortrieb.
doch während	Contrast	Coordinate	NA	Der Wolfsburger stellt immer noch die technische Basis bereit, doch während die jüngste VW-Polo-Generation nur leicht aufgehübscht wurde, hat sich der Ingolstädter Chef-Designer Marc Lichte ausgetobt.
während	Contrast	Coordinate	NA	Während die nun 226 Kilogramm wiegende Basisversion der Africa Twin für 14 165 Euro mit knapp 19 Liter fassendem, etwas schlankerem Tank, Tempomat und niedrigem Windschild zwar mit Doppelkupplungsgetriebe angereichert werden kann, ist das semi-aktive Fahrwerk der Adventure-Sports-Version als Extra vorbehalten.
während	Contrast	Coordinate	NA	Harmonisch geschwungene Bergstraßen wie die über den Großglockner oder über die Bernina dürften durchaus freudvoll zu fahren sein, während man vom Stilfser Joch oder dem Hahntennjoch in Tirol wohl besser die Finger lässt.
während	Contrast	Coordinate	NA	Während die meisten Hersteller gerade erst im großen Stil LED-Matrix-Scheinwerfer ausrollen, mit denen sich die Straße gezielt ausleuchten und einzelne Bereiche abblenden lassen, gehen die Japaner einen Schritt weiter: Statt auf ein mehr oder weniger feines Netz aus Lichtpunkten vertraut Lexus auf die BladeScan-Technik. 
während	Contrast	Coordinate	NA	Auch Škoda rechnet damit, dass bis zum Jahr 2025 rund ein Viertel der Produktion auf Elektromodelle entfallen wird, Plug-in-Hybride mitgerechnet. Allerdings muss noch bis Anfang 2020 auf den Superb mit Stecker gewartet werden, während die Marktpremiere des aufgefrischten Superb und des Superb Scout schon Ende Juni ist.
während	Contrast	Coordinate	NA	Während man sich im Innenraum, beim Top-Modell, für eines von drei Farbkonzepten entscheiden kann und bei der Außenhaut die Wahl zwischen elf Karosserie- und drei Dachfarben hat, braucht man sich über den Motor keine Gedanken machen.
jedoch/im Gegensatz zu	Contrast	Coordinate	NA	Im Gegensatz zu Modellen wie dem neuen Dreier BMW lässt sich jedoch die S60-Heckklappe nicht elektrisch öffnen oder schließen.
im Gegensatz zu	Contrast	Coordinate	NA	Im Gegensatz zu Harleys neuer Tourer-Generation (Fahrbericht folgt in Kürze) werden Low Rider S und die anderen Softail-Typen des Modelljahrs 2020 nicht mit Kurven-ABS sowie einer Traktionskontrolle mit Schräglagenerkennung ausgerüstet.
im Gegensatz zu	Contrast	Coordinate	NA	Im Gegensatz zum Toyota Prius muss der Akku nicht nur auf das Rollen oder Bremsen warten, um die dabei entstehende Energie zum Laden zu nutzen.
eher	Contrast	Coordinate	NA	Außer vielleicht, dass die für die teureren Baureihen vorgesehenen Sportsitze mit integrierter (nicht verstellbarer) Kopfstütze eher durchschnittlich großen Fahrern auf den Leib geschnitten sind.
eher	Contrast	Coordinate	NA	Man muss eher aufpassen, die schon bei leichter Berührung des Gaspedals stürmisch los eilenden Pferde im Stadtverkehr oder auf limitierten Strecken im Zaum und innerhalb der Straßenverkehrsvorschriften zu halten.
zwar	Contrast	Coordinate	NA	Damit kommt der rund 1,2 Tonnen schwere Nissan zwar nicht in unter zehn Sekunden auf Tempo 100 und schafft maximal 180 km/h, doch fühlt sich der Benziner recht spritzig an, und mit einem beherzten Tritt aufs Gas macht er sogar bergauf noch eine gute Figur.
zwar	Contrast	Coordinate	NA	Zwar ist der ab 67.750 Euro erhältliche SQ5 unter anderem mit 20-Zoll-Alus, einer markanten Frontschürze, Spiegelgehäuse in Aluminiumoptik, Leder-Sportsitzen und einer elektrisch öffnenden und schließenden Heckklappe ordentlich ausgestattet, doch gibt es noch reichlich Gelegenheit zu weiteren Ausgaben.
andererseits	Contrast	Coordinate	NA	Andererseits offeriert der Hersteller jede Menge Auto für die avisierten 35.000 Euro.
obwohl	Concession	Subordinate	Anaphoric	Die Modellpflege des Einstiegs-SUV geriet so umfangreich, dass Mitsubishi selbst von „neuer Generation“ spricht, obwohl die Grundarchitektur die alte blieb.
obwohl	Contrast	Coordinate	NA	Und obwohl bei der Modellpflege eine induktive Ladeschale fürs Handy noch ausgeschlossen wurde, hat Porsche in den vergangenen Monaten auch hier nochmal nachgelegt: Versteckt unter der Mittelarmlehne tankt das Smartphone jetzt kabellos Strom und sogar Apple CarPlay ist inzwischen ohne Stecker nutzbar.
obwohl	Concession	Coordinate	NA	Die SUV-Welle war absehbar, und obwohl es noch immer Kunden gibt, die dem Modus nachtrauern, ist die Erfolgsgeschichte amtlich.
